rgn_id,dimension,score,year
35,status,91.67,2019
36,status,91.67,2019
11,status,63.33,2019
12,status,63.33,2019
13,status,NA,2019
9,status,63.33,2019
10,status,NA,2019
14,status,100,2019
15,status,100,2019
16,status,NA,2019
17,status,NA,2019
41,status,100,2019
42,status,100,2019
37,status,100,2019
38,status,100,2019
20,status,100,2019
21,status,NA,2019
22,status,NA,2019
23,status,100,2019
24,status,100,2019
25,status,100,2019
18,status,NA,2019
19,status,NA,2019
3,status,63.33,2019
4,status,NA,2019
32,status,93.33,2019
33,status,NA,2019
34,status,93.33,2019
27,status,73.33,2019
28,status,73.33,2019
1,status,76.67,2019
2,status,76.67,2019
7,status,NA,2019
8,status,NA,2019
29,status,100,2019
30,status,100,2019
31,status,100,2019
39,status,93.33,2019
40,status,93.33,2019
5,status,63.33,2019
6,status,63.33,2019
26,status,73.33,2019
